ds,y
2020-05-04 08:05:54.703000069,39527
2020-05-04 08:06:54.703000069,39529
2020-05-04 08:07:54.703000069,39531
2020-05-04 08:08:54.703000069,39533
2020-05-04 08:09:54.703000069,39535
2020-05-04 08:10:54.701999903,39537
2020-05-04 08:11:54.703000069,39539
2020-05-04 08:12:54.703000069,39541
2020-05-04 08:13:54.703000069,39543
2020-05-04 08:14:54.703000069,39545
2020-05-04 08:15:54.701999903,39547
2020-05-04 08:16:54.701999903,39549
2020-05-04 08:17:54.701999903,39551
2020-05-04 08:18:54.703000069,39553
2020-05-04 08:19:54.701999903,39555
2020-05-04 08:20:54.703000069,39557
2020-05-04 08:21:54.703000069,39559
2020-05-04 08:22:54.703000069,39561
2020-05-04 08:23:54.703000069,39563
2020-05-04 08:24:54.703000069,39565
2020-05-04 08:25:54.703000069,39567
2020-05-04 08:26:54.701999903,39569
2020-05-04 08:27:54.701999903,39571
2020-05-04 08:28:54.703000069,39573
2020-05-04 08:29:54.703000069,39575
2020-05-04 08:30:54.703000069,39577
2020-05-04 08:31:54.701999903,39579
2020-05-04 08:32:54.703000069,39581
2020-05-04 08:33:54.701999903,39583
2020-05-04 08:34:54.703000069,39585
2020-05-04 08:35:54.701999903,39587
